processador,ram,ssd,preco,link
"Processador Intel Core i5-9400F Hexa-Core 2.9GHz (4.1GHz Turbo) 9MB Cache LGA1151, BX80684I59400F",,"SSD Pichau Gaming 256GB 2.5"" Sata 6GB/s, PG256X","as R$3.072,00 10x de R$307,20 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i5-9400f-radeon-r5-220-2gb-8gb-ddr4-ssd-256gb-500w-combat
"Processador Intel Celeron G4930 Dual-Core 3.2GHz 2MB Cache LGA1151, BX80684G4930-OEM",,,"as R$1.955,00 10x de R$195,50 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-g4930-8gb-ddr4-1tb-500w-cooler-f50-raider
,,"SSD Lexar NM100 128GB M.2 2280 Sata 6GB/s, LNM100-128RBNA","as R$1.471,00 10x de R$147,10 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-celeron-j4005-dual-core-8gb-ddr4-ssd-128gb-m-2-500w-pbs306
"Processador Intel Core i3-10100F Quad-Core 3.6Ghz (4.3Ghz Turbo) 6MB Cache LGA1200, BX8070110100F",,,"as R$2.626,00 10x de R$262,60 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i3-10100f-radeon-r5-220-2gb-8gb-ddr4-hd-1tb-500w-pbs308
"Processador Intel Celeron G5905 Dual-Core 3.5GHz 4MB Cache LGA1200, BX80701G5905",,,"as R$1.991,00 10x de R$199,10 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-g5905-3-5ghz-8gb-ddr4-hd-1tb-500w-pbs306
"Processador Intel Core i3-7100 Dual-Core 3.9GHz 3MB Cache LGA1151, BX80677I37100-OEM",,"SSD Pichau Gaming 256GB 2.5"" Sata 6GB/s, PG256X","as R$2.144,00 10x de R$214,40 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i3-7100-8gb-ddr4-ssd-256gb-500w-raider
"Processador Intel Core i5-10400F Hexa-Core 2.9Ghz (4.3Ghz Turbo) 12MB Cache LGA1200, BX8070110400F",,"SSD Lexar NM100 128GB M.2 2280 Sata 6GB/s, LNM100-128RBNA","as R$3.156,00 10x de R$315,60 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i5-10400f-radeon-r5-220-2gb-8gb-ddr4-ssd-128gb-m-2-500w-raider
,,,"as R$1.661,00 10x de R$166,10 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-ryzen-3-3100-radeon-r5-220-2gb-8gb-ddr4-ssd-256gb-350w-argon
,,,"as R$2.248,86 10x de R$224,89 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-express-i5-9600kf-geforce-gt710-1gb-8gb-ddr4-ssd-128gb-500w-tgt-mortar
,,,"as R$1.618,00 10x de R$161,80 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-ryzen-5-3350g-8gb-ddr4-hd-1tb-500w-cooler-f150-raider
,,,"as R$1.667,73 10x de R$166,77 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-amd-a8-9600-8gb-ddr4-ssd-128gb-500w-cooler-f50-raider
,,,"as R$3.073,00 10x de R$307,30 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-ryzen-5-3600-radeon-r5-220-2gb-8gb-ddr4-ssd-128gb-500w-pbs308
,,,"as R$1.511,00 10x de R$151,10 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-g5920-3-5ghz-8gb-ddr4-1tb-500w-pbs308
,,,"as R$1.131,00 10x de R$113,10 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-g5920-3-5ghz-8gb-ddr4-ssd-256gb-500w-pbs308
,,,"as R$1.691,00 10x de R$169,10 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-ryzen-3-3200g-8gb-ddr4-ssd-512gb-500w-raider
,,,"as R$2.586,00 10x de R$258,60 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-express-i5-9400f-geforce-gt-710-1gb-4gb-ddr4-1tb-500w-pe340-2
,,,"as R$517,51 10x de R$51,75 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-express-g5400-3-7ghz-geforce-gt-710-1gb-8gb-ddr4-1tb-500w-sc-501bk
,,,"as R$778,16 10x de R$77,82 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-fx-6300-4gb-ddr3-1tb-500w-sc501bk-monitor-19-5-wide
,,,"as R$1.111,00 10x de R$111,10 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-express-ryzen-3-3200g-4gb-ddr4-ssd-256gb-500w-sc501bk
,,,"as R$1.766,34 10x de R$176,63 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-express-amd-athlon-3000g-8gb-ddr4-ssd-256gb-500w-sc501bk-monitor-19-5-wide
,,,"as R$830,00 10x de R$83,00 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-celeron-j1800-dual-core-8gb-ddr3-ssd-128gb-350w-pbs306
,,,"as R$1.531,00 10x de R$153,10 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-amd-a6-7480-4gb-ddr3-ssd-120gb-500w-pbs306
,,,"as R$1.321,00 10x de R$132,10 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-express-amd-apu-a6-9500-3-5ghz-8gb-ddr4-ssd-256gb-500w-sc501bk-1
,,,"as R$1.781,00 10x de R$178,10 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-ryzen-3-3100-radeon-r5-220-2gb-8gb-ddr4-hd-1tb-350w-argon
,,,"as R$1.674,64 10x de R$167,46 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-g6400-8gb-ddr4-hd-1tb-500w-raider
,,,"as R$1.566,00 10x de R$156,60 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-g6400-8gb-ddr4-ssd-256gb-500w-raider
,,,"as R$404,09 10x de R$40,41 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-amd-athlon-200ge-4gb-ddr4-hd-1tb-500w-sc501bk
,,,"as R$1.131,00 10x de R$113,10 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-ryzen-3-3200g-8gb-ddr4-ssd-240gb-500w-combat
